timestamps,TP9,AF7,AF8,TP10,Right AUX
1676160183.488,174.316,339.844,112.793,154.785,0.000
1676160183.492,164.551,356.934,130.371,125.977,0.000
1676160183.496,115.234,363.770,144.043,62.012,0.000
1676160183.500,111.328,365.723,155.273,93.262,0.000
1676160183.504,150.391,368.652,158.203,168.457,0.000
1676160183.508,143.066,378.906,158.691,154.785,0.000
1676160183.512,86.914,363.770,166.016,70.312,0.000
1676160183.515,71.777,348.145,179.199,75.684,0.000
1676160183.519,106.445,356.934,174.316,144.043,0.000
1676160183.523,124.512,344.727,173.340,163.574,0.000
1676160183.527,91.797,329.102,197.266,124.512,0.000
1676160183.531,58.105,331.543,203.125,82.031,0.000
1676160183.535,83.008,323.730,219.727,126.953,0.000
1676160183.539,120.605,313.965,221.680,180.176,0.000
1676160183.543,119.141,295.898,202.148,148.438,0.000
1676160183.547,90.820,277.832,226.562,105.469,0.000
1676160183.551,79.590,293.457,237.793,102.539,0.000
1676160183.554,91.797,307.617,220.703,135.742,0.000
1676160183.558,91.797,294.434,218.750,132.324,0.000
1676160183.562,56.152,273.438,207.520,73.242,0.000
1676160183.566,60.547,240.234,190.918,88.867,0.000
1676160183.570,114.746,252.930,197.754,163.086,0.000
1676160183.574,103.027,285.156,200.195,139.160,0.000
1676160183.578,34.180,268.555,191.895,42.480,0.000
1676160183.582,14.648,248.047,202.148,14.160,0.000
1676160183.586,46.387,229.004,205.078,75.195,0.000
1676160183.590,80.566,201.172,184.082,123.047,0.000
1676160183.594,69.336,188.477,176.758,87.891,0.000
1676160183.597,24.414,185.059,174.316,18.555,0.000
1676160183.601,36.621,163.574,162.598,50.293,0.000
1676160183.605,85.449,162.598,158.691,128.906,0.000
1676160183.609,59.082,172.852,123.047,80.078,0.000
1676160183.613,-9.277,153.809,103.516,-21.484,0.000
1676160183.617,1.953,157.715,141.113,12.695,0.000
1676160183.621,37.598,153.320,142.578,80.566,0.000
1676160183.625,24.902,130.371,115.723,51.270,0.000
1676160183.629,-10.254,113.770,110.840,-20.508,0.000
1676160183.633,-13.672,95.215,112.793,-22.949,0.000
1676160183.637,29.297,98.633,101.562,57.129,0.000
1676160183.640,42.480,106.934,93.262,74.707,0.000
1676160183.644,-3.418,99.609,98.145,-1.953,0.000
1676160183.648,-20.996,86.426,97.656,-25.879,0.000
1676160183.652,18.066,85.938,92.773,44.434,0.000
1676160183.656,33.691,79.102,72.266,65.430,0.000
1676160183.660,11.230,64.941,70.312,14.648,0.000
1676160183.664,-23.438,65.430,67.383,-41.504,0.000
1676160183.668,-10.742,72.266,54.688,-6.348,0.000
1676160183.672,15.625,72.754,57.617,41.992,0.000
1676160183.676,2.930,71.777,47.363,10.254,0.000
1676160183.679,-23.926,65.430,47.363,-43.945,0.000
1676160183.683,-15.137,53.223,57.129,-26.367,0.000
1676160183.687,0.488,41.016,53.711,20.508,0.000
1676160183.691,-8.789,35.645,35.645,1.953,0.000
1676160183.695,-32.227,35.645,44.434,-43.945,0.000
1676160183.699,-46.387,37.598,53.223,-62.500,0.000
1676160183.703,-16.113,27.832,39.062,-14.648,0.000
1676160183.707,7.812,23.438,30.273,16.602,0.000
1676160183.711,-12.695,26.367,32.227,-34.668,0.000
1676160183.715,-32.715,24.414,45.410,-64.453,0.000
1676160183.719,-20.996,19.043,41.016,-22.949,0.000
1676160183.722,3.906,15.625,35.645,15.137,0.000
1676160183.726,-0.488,29.297,41.992,-18.066,0.000
1676160183.730,-37.598,30.762,36.133,-72.266,0.000
1676160183.734,-34.180,19.043,21.484,-44.922,0.000
1676160183.738,12.695,21.973,23.438,25.391,0.000
1676160183.742,26.855,28.809,48.828,36.621,0.000
1676160183.746,-35.645,18.555,32.715,-52.246,0.000
1676160183.750,-35.156,20.020,29.297,-41.016,0.000
1676160183.754,11.230,20.508,40.527,32.715,0.000
1676160183.758,0.488,6.836,28.320,14.648,0.000
1676160183.762,-29.785,13.184,37.598,-42.480,0.000
1676160183.765,-39.062,14.160,43.457,-59.570,0.000
1676160183.769,0.000,18.555,35.645,9.766,0.000
1676160183.773,38.086,30.273,32.227,53.711,0.000
1676160183.777,6.348,20.020,31.738,-5.371,0.000
1676160183.781,-21.484,23.438,44.922,-40.527,0.000
1676160183.785,16.602,32.715,47.363,19.531,0.000
1676160183.789,45.898,21.484,40.039,68.359,0.000
1676160183.793,14.160,23.926,42.969,20.020,0.000
